datetime,clientip,url,action,sentbytes,app_risk_score
2026-02-01 13:00:00,10.0.1.10,https://example.com/,Allowed,900,1
2026-02-01 13:00:01,10.0.1.10,https://example.com/search?q=foo,Allowed,1400,2
2026-02-01 13:00:02,10.0.1.11,https://files.example.com/readme.txt,Allowed,600,1
2026-02-01 13:00:03,10.0.1.12,https://files.example.com/upload,Allowed,250000,2
2026-02-01 13:00:04,10.0.1.13,https://files.example.com/upload,Allowed,5200000,2
2026-02-01 13:00:05,10.0.1.13,https://files.example.com/upload,Allowed,8000000,2
2026-02-01 13:00:06,10.0.1.13,https://files.example.com/upload,Allowed,9000000,3
2026-02-01 13:00:07,10.0.1.14,https://files.example.com/upload,Allowed,7000001,1
2026-02-01 13:00:08,10.0.1.15,https://files.example.com/upload,Allowed,6500000,2
2026-02-01 13:00:09,10.0.1.16,https://files.example.com/upload,Allowed,5600000,1
2026-02-01 13:00:10,10.0.1.17,https://files.example.com/upload,Allowed,5400000,2
2026-02-01 13:00:11,10.0.1.18,https://files.example.com/upload,Allowed,5300000,3
2026-02-01 13:00:12,10.0.1.19,https://files.example.com/upload,Allowed,5200001,2
2026-02-01 13:00:13,10.0.1.20,https://example.com/profile,Allowed,900,1
2026-02-01 13:00:14,10.0.1.21,https://cdn.example.com/static/app.css,Allowed,3200,1
2026-02-01 13:00:15,10.0.1.22,https://files.example.com/upload,Allowed,6100000,2
2026-02-01 13:00:16,10.0.1.22,https://files.example.com/upload,Allowed,9900000,2
2026-02-01 13:00:17,10.0.1.22,https://files.example.com/upload,Allowed,12000000,3
2026-02-01 13:00:18,10.0.1.23,https://example.com/logout,Allowed,700,1

