datetime,clientip,url,action,sentbytes,app_risk_score
2026-02-01 14:00:00,10.0.2.10,https://example.com/,Allowed,800,1
2026-02-01 14:00:01,10.0.2.11,https://example.com/login,Allowed,900,2
2026-02-01 14:00:02,10.0.2.12,https://saas.example.com/app,Allowed,1200,3
2026-02-01 14:00:03,10.0.2.13,https://risk.example.com/high1,Allowed,1000,4
2026-02-01 14:00:04,10.0.2.14,https://risk.example.com/high2,Allowed,1100,5
2026-02-01 14:00:05,10.0.2.15,https://files.example.com/upload,Allowed,7000001,2
2026-02-01 14:00:06,10.0.2.16,https://files.example.com/upload,Allowed,8500000,3
2026-02-01 14:00:07,10.0.2.17,https://example.com/search?q=blue,Allowed,900,1
2026-02-01 14:00:08,10.0.2.18,https://risk.example.com/high3,Allowed,1500,4
2026-02-01 14:00:09,10.0.2.19,https://risk.example.com/high4,Allowed,1600,6
2026-02-01 14:00:10,10.0.2.20,https://files.example.com/upload,Allowed,9000001,1
2026-02-01 14:00:11,10.0.2.21,https://example.com/profile,Allowed,800,2
2026-02-01 14:00:12,10.0.2.22,https://cdn.example.com/static/app.js,Allowed,4200,1
2026-02-01 14:00:13,10.0.2.23,https://risk.example.com/high5,Allowed,1200,4
2026-02-01 14:00:14,10.0.2.24,https://files.example.com/upload,Allowed,5100001,2
2026-02-01 14:00:15,10.0.2.25,https://example.com/logout,Allowed,650,1

